"pid","day","daysInStudy","day_zero","time_type","time_time","situation_major","weather_temperature","notification_type","engagement","S1","S2","time_time_simple"
1,0,0,0,"weekday","lunch","travelling","unknown","restaurant",0,0,0,"midday"
1,2,2,0,"weekday","afternoon","travelling","cold","restaurant",1,0,0,"midday"
1,4,4,0,"weekday","afternoon","unknown","freezing","restaurant",0,0,0,"midday"
1,9,9,0,"weekday","afternoon","unknown","unknown","grocery",0,0,0,"midday"
1,10,10,0,"weekday","lunch","travelling","unknown","grocery",0,0,0,"midday"
1,11,11,0,"weekend","beforelunch","travelling","unknown","grocery",1,0,0,"midday"
1,13,13,0,"weekend","lunch","travelling","cold","grocery",0,0,0,"midday"
1,14,14,0,"weekday","morning","travelling","warm","restaurant",1,0,0,"morning"
1,15,15,0,"weekend","breakfast","travelling","unknown","restaurant",1,0,0,"morning"
1,18,18,0,"weekday","breakfast","travelling","unknown","grocery",1,0,0,"morning"
1,20,20,0,"weekday","afternoon","unknown","unknown","grocery",0,0,0,"midday"
1,21,21,0,"weekday","dinner","travelling","hot","restaurant",1,0,0,"night"
1,24,24,0,"weekend","breakfast","travelling","freezing","restaurant",0,0,0,"morning"
1,26,26,0,"weekend","beforelunch","working","warm","grocery",0,0,0,"midday"
1,28,28,0,"weekday","beforelunch","unknown","cold","restaurant",0,0,0,"midday"
1,29,29,0,"weekday","lunch","travelling","hot","restaurant",1,0,0,"midday"
1,30,30,0,"unknown","afternoon","travelling","cold","grocery",0,0,0,"midday"
1,31,31,0,"weekend","afternoon","working","freezing","restaurant",0,0,0,"midday"
1,32,32,0,"weekday","lunch","travelling","freezing","restaurant",1,0,0,"midday"
1,33,33,0,"weekday","lunch","travelling","freezing","grocery",1,0,0,"midday"
1,35,35,0,"weekend","beforelunch","travelling","warm","restaurant",0,0,0,"midday"
1,39,39,0,"weekday","beforelunch","shopping","unknown","grocery",0,0,0,"midday"
1,42,42,0,"weekday","beforelunch","working","freezing","grocery",1,0,0,"midday"
1,43,43,0,"weekday","afternoon","travelling","unknown","restaurant",0,0,0,"midday"
1,45,45,0,"weekend","lunch","travelling","freezing","grocery",0,0,0,"midday"
1,46,46,0,"weekday","afternoon","travelling","warm","restaurant",1,0,0,"midday"
1,47,47,0,"weekday","beforelunch","travelling","unknown","grocery",0,0,0,"midday"
1,48,48,0,"weekday","beforelunch","unknown","freezing","grocery",1,0,0,"midday"
1,52,52,0,"weekday","beforelunch","unknown","unknown","restaurant",0,0,0,"midday"
1,56,56,0,"weekday","lunch","travelling","hot","grocery",1,0,0,"midday"
1,57,57,0,"weekend","morning","travelling","unknown","restaurant",0,1,0,"morning"
1,59,59,0,"weekday","lunch","travelling","cold","grocery",1,1,0,"midday"
1,60,60,0,"weekday","lunch","travelling","unknown","restaurant",1,1,0,"midday"
1,61,61,0,"weekend","beforelunch","leisure","cold","restaurant",1,1,0,"midday"
1,62,62,0,"weekday","afternoon","shopping","warm","restaurant",1,1,0,"midday"
1,65,65,0,"weekend","night","working","cold","restaurant",0,1,0,"night"
1,66,66,0,"weekday","afternoon","travelling","warm","restaurant",0,1,0,"midday"
1,68,68,0,"weekday","lunch","travelling","unknown","grocery",0,1,0,"midday"
1,71,71,0,"weekday","breakfast","unknown","cold","grocery",0,1,0,"morning"
1,72,72,0,"weekend","lunch","leisure","unknown","grocery",1,1,0,"midday"
1,73,73,0,"weekday","afternoon","working","unknown","restaurant",0,1,0,"midday"
1,75,75,0,"weekday","morning","travelling","hot","grocery",1,1,0,"morning"
1,76,76,0,"weekday","breakfast","leisure","freezing","restaurant",0,1,0,"morning"
1,77,77,0,"weekday","breakfast","shopping","hot","restaurant",1,1,0,"morning"
1,78,78,0,"weekday","beforelunch","working","cold","restaurant",0,1,0,"midday"
1,79,79,0,"weekday","afternoon","unknown","cold","grocery",0,1,0,"midday"
1,81,81,0,"weekday","lunch","travelling","unknown","grocery",1,1,0,"midday"
1,82,82,0,"weekday","morning","travelling","cold","restaurant",0,1,0,"morning"
1,83,83,0,"weekday","afternoon","shopping","hot","restaurant",1,1,0,"midday"
1,84,84,0,"weekday","breakfast","travelling","warm","grocery",0,1,0,"morning"
1,85,85,0,"weekday","beforelunch","unknown","unknown","grocery",0,1,0,"midday"
1,86,86,0,"weekday","night","travelling","freezing","restaurant",0,1,0,"night"
1,87,87,0,"weekday","afternoon","shopping","hot","restaurant",0,1,0,"midday"
1,88,88,0,"weekend","afternoon","travelling","cold","grocery",0,1,0,"midday"
1,89,89,0,"weekday","breakfast","shopping","cold","restaurant",0,1,0,"morning"
1,91,91,0,"weekday","afternoon","leisure","unknown","grocery",0,1,0,"midday"
1,93,93,0,"weekend","morning","travelling","cold","restaurant",1,1,0,"morning"
1,94,94,0,"weekday","unknown","travelling","unknown","grocery",1,1,0,"unknown"
1,95,95,0,"weekday","afternoon","travelling","cold","restaurant",0,1,0,"midday"
1,96,96,0,"weekend","lunch","travelling","cold","grocery",0,1,0,"midday"
1,98,98,0,"weekend","afternoon","unknown","unknown","grocery",0,1,0,"midday"
1,99,99,0,"weekend","lunch","unknown","freezing","restaurant",1,1,0,"midday"
1,100,100,0,"weekday","lunch","shopping","hot","grocery",0,1,0,"midday"
1,105,105,0,"weekday","dinner","travelling","cold","grocery",0,1,0,"night"
1,107,107,0,"weekday","lunch","travelling","freezing","restaurant",0,1,0,"midday"
1,110,110,0,"weekday","breakfast","unknown","warm","restaurant",0,1,0,"morning"
1,111,111,0,"weekday","beforelunch","travelling","warm","restaurant",0,1,0,"midday"
1,112,112,0,"weekday","beforelunch","unknown","cold","grocery",0,1,0,"midday"
