"ids","mechanism","data_seed"
1,"extreme1",559
2,"extreme1",317
3,"extreme1",154
4,"extreme1",943
5,"extreme1",398
6,"extreme1",987
7,"extreme1",628
8,"extreme1",812
9,"extreme1",137
10,"extreme1",293
11,"extreme1",231
12,"extreme1",843
13,"extreme1",829
14,"extreme1",978
15,"extreme1",284
16,"extreme1",303
17,"extreme1",368
18,"extreme1",455
19,"extreme1",210
20,"extreme1",795
21,"extreme1",944
22,"extreme1",916
23,"extreme1",558
24,"extreme1",156
25,"extreme1",550
26,"extreme1",932
27,"extreme1",599
28,"extreme1",569
29,"extreme1",941
30,"extreme1",630
31,"extreme1",236
32,"extreme1",391
33,"extreme1",910
34,"extreme1",566
35,"extreme1",838
36,"extreme1",472
37,"extreme1",363
38,"extreme1",720
39,"extreme1",244
40,"extreme1",927
41,"extreme1",764
42,"extreme1",204
43,"extreme1",576
44,"extreme1",766
45,"extreme1",656
46,"extreme1",623
47,"extreme1",651
48,"extreme1",734
49,"extreme1",174
50,"extreme1",203
1,"extreme2",837
2,"extreme2",944
3,"extreme2",662
4,"extreme2",336
5,"extreme2",591
6,"extreme2",420
7,"extreme2",295
8,"extreme2",537
9,"extreme2",189
10,"extreme2",694
11,"extreme2",535
12,"extreme2",157
13,"extreme2",944
14,"extreme2",733
15,"extreme2",545
16,"extreme2",445
17,"extreme2",435
18,"extreme2",433
19,"extreme2",349
20,"extreme2",421
21,"extreme2",116
22,"extreme2",174
23,"extreme2",232
24,"extreme2",363
25,"extreme2",368
26,"extreme2",195
27,"extreme2",223
28,"extreme2",827
29,"extreme2",559
30,"extreme2",373
31,"extreme2",175
32,"extreme2",616
33,"extreme2",157
34,"extreme2",534
35,"extreme2",790
36,"extreme2",981
37,"extreme2",226
38,"extreme2",693
39,"extreme2",670
40,"extreme2",531
41,"extreme2",301
42,"extreme2",870
43,"extreme2",363
44,"extreme2",180
45,"extreme2",573
46,"extreme2",493
47,"extreme2",770
48,"extreme2",155
49,"extreme2",903
50,"extreme2",870
